#start of day, 11-02-2012, 16:04:58
comment, date, time, color, opacity, width, lat, long, alt, speed, x, y
#faff duration="00:27:48"
1, 11-02-2012, 16:04:58, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
2, 11-02-2012, 16:04:59, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
3, 11-02-2012, 16:05:00, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
4, 11-02-2012, 16:05:01, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
5, 11-02-2012, 16:05:02, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
6, 11-02-2012, 16:05:03, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
7, 11-02-2012, 16:05:04, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
8, 11-02-2012, 16:05:05, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
9, 11-02-2012, 16:05:06, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
10, 11-02-2012, 16:05:07, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
11, 11-02-2012, 16:05:08, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
12, 11-02-2012, 16:05:09, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
13, 11-02-2012, 16:05:10, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
14, 11-02-2012, 16:05:11, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
15, 11-02-2012, 16:05:12, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
16, 11-02-2012, 16:05:13, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
17, 11-02-2012, 16:05:14, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
18, 11-02-2012, 16:05:15, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
19, 11-02-2012, 16:05:16, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
20, 11-02-2012, 16:05:17, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
21, 11-02-2012, 16:05:18, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
22, 11-02-2012, 16:05:19, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
23, 11-02-2012, 16:05:20, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
24, 11-02-2012, 16:05:21, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
25, 11-02-2012, 16:05:22, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
26, 11-02-2012, 16:05:23, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
27, 11-02-2012, 16:05:24, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
28, 11-02-2012, 16:05:25, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
29, 11-02-2012, 16:05:26, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
30, 11-02-2012, 16:05:27, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
31, 11-02-2012, 16:05:28, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
32, 11-02-2012, 16:05:29, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
33, 11-02-2012, 16:05:30, green, 80, 3, 39.885263, -105.763515, 2790, 1, 6839981, 2890926
34, 11-02-2012, 16:05:31, green, 80, 3, 39.885347, -105.763437, 2793, 1, 6839971, 2890943
35, 11-02-2012, 16:05:32, green, 80, 3, 39.885347, -105.763437, 2793, 1, 6839971, 2890943
36, 11-02-2012, 16:05:33, green, 80, 3, 39.885347, -105.763437, 2793, 1, 6839971, 2890943
37, 11-02-2012, 16:05:34, green, 80, 3, 39.885347, -105.763437, 2793, 1, 6839971, 2890943
38, 11-02-2012, 16:05:35, green, 80, 3, 39.885347, -105.763437, 2793, 1, 6839971, 2890943
39, 11-02-2012, 16:05:36, green, 80, 3, 39.885347, -105.763437, 2793, 1, 6839971, 2890943
40, 11-02-2012, 16:05:37, green, 80, 3, 39.885347, -105.763437, 2793, 1, 6839971, 2890943
41, 11-02-2012, 16:05:38, green, 80, 3, 39.885347, -105.763437, 2793, 1, 6839971, 2890943
42, 11-02-2012, 16:05:39, green, 80, 3, 39.885347, -105.763437, 2793, 1, 6839971, 2890943
43, 11-02-2012, 16:05:40, green, 80, 3, 39.885347, -105.763437, 2793, 1, 6839971, 2890943
44, 11-02-2012, 16:05:41, green, 80, 3, 39.885347, -105.763437, 2793, 1, 6839971, 2890943
45, 11-02-2012, 16:05:42, green, 80, 3, 39.885347, -105.763437, 2793, 1, 6839971, 2890943
46, 11-02-2012, 16:05:43, green, 80, 3, 39.885347, -105.763437, 2793, 1, 6839971, 2890943
47, 11-02-2012, 16:05:44, green, 80, 3, 39.885347, -105.763437, 2793, 1, 6839971, 2890943
48, 11-02-2012, 16:05:45, green, 80, 3, 39.885347, -105.763437, 2793, 1, 6839971, 2890943
49, 11-02-2012, 16:05:46, green, 80, 3, 39.885338, -105.763377, 2793, 2, 6839977, 2890951
50, 11-02-2012, 16:05:47, green, 80, 3, 39.885338, -105.763377, 2793, 2, 6839977, 2890951
51, 11-02-2012, 16:05:48, green, 80, 3, 39.885338, -105.763377, 2793, 2, 6839977, 2890951
52, 11-02-2012, 16:05:49, green, 80, 3, 39.885338, -105.763377, 2793, 2, 6839977, 2890951
53, 11-02-2012, 16:05:50, green, 80, 3, 39.885368, -105.763380, 2792, 5, 6839971, 2890952
54, 11-02-2012, 16:05:51, green, 80, 3, 39.885368, -105.763380, 2792, 5, 6839971, 2890952
55, 11-02-2012, 16:05:52, green, 80, 3, 39.885403, -105.763383, 2791, 6, 6839964, 2890954
56, 11-02-2012, 16:05:53, green, 80, 3, 39.885403, -105.763383, 2791, 6, 6839964, 2890954
57, 11-02-2012, 16:05:54, green, 80, 3, 39.885465, -105.763388, 2792, 10, 6839953, 2890956
58, 11-02-2012, 16:05:55, green, 80, 3, 39.885500, -105.763383, 2793, 10, 6839946, 2890959
59, 11-02-2012, 16:05:56, green, 80, 3, 39.885530, -105.763387, 2792, 11, 6839941, 2890961
60, 11-02-2012, 16:05:57, green, 80, 3, 39.885568, -105.763380, 2792, 11, 6839934, 2890964
61, 11-02-2012, 16:05:58, green, 80, 3, 39.885630, -105.763353, 2792, 14, 6839925, 2890971
62, 11-02-2012, 16:05:59, green, 80, 3, 39.885685, -105.763333, 2792, 17, 6839916, 2890977
63, 11-02-2012, 16:06:00, green, 80, 3, 39.885730, -105.763352, 2793, 20, 6839906, 2890978
64, 11-02-2012, 16:06:01, green, 80, 3, 39.885782, -105.763332, 2793, 22, 6839898, 2890983
65, 11-02-2012, 16:06:02, green, 80, 3, 39.885840, -105.763292, 2791, 23, 6839890, 2890993
66, 11-02-2012, 16:06:03, green, 80, 3, 39.885895, -105.763267, 2789, 22, 6839882, 2890999
67, 11-02-2012, 16:06:04, green, 80, 3, 39.885947, -105.763255, 2789, 20, 6839873, 2891004
68, 11-02-2012, 16:06:05, green, 80, 3, 39.885990, -105.763243, 2789, 17, 6839866, 2891008
69, 11-02-2012, 16:06:06, green, 80, 3, 39.886028, -105.763230, 2788, 14, 6839860, 2891013
70, 11-02-2012, 16:06:07, green, 80, 3, 39.886028, -105.763230, 2788, 14, 6839860, 2891013
71, 11-02-2012, 16:06:08, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
72, 11-02-2012, 16:06:09, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
73, 11-02-2012, 16:06:10, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
74, 11-02-2012, 16:06:11, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
75, 11-02-2012, 16:06:12, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
76, 11-02-2012, 16:06:13, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
77, 11-02-2012, 16:06:14, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
78, 11-02-2012, 16:06:15, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
79, 11-02-2012, 16:06:16, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
80, 11-02-2012, 16:06:17, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
81, 11-02-2012, 16:06:18, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
82, 11-02-2012, 16:06:19, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
83, 11-02-2012, 16:06:20, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
84, 11-02-2012, 16:06:21, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
85, 11-02-2012, 16:06:22, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
86, 11-02-2012, 16:06:23, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
87, 11-02-2012, 16:06:24, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
88, 11-02-2012, 16:06:25, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
89, 11-02-2012, 16:06:26, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
90, 11-02-2012, 16:06:27, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
91, 11-02-2012, 16:06:28, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
92, 11-02-2012, 16:06:29, green, 80, 3, 39.886072, -105.763195, 2787, 7, 6839855, 2891020
